,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
2318,422,30.8,628,7.63,2.0,24.65,42.22,7629,2.59,0.3,0.15,11.3,1.4,Moorpark High School,45.11,2016,
2319,0,3.5,628,10.98,2.44,10.98,12.2,12118,2.44,1.22,0.0,0,0,The High School At Moorpark College,70.73,2016,
2320,0,3.5,628,42.5532,4.25532,10.98,7.44681,8543,0.0,0.0,0.0,0,0,Besant Hill School Of Happy Valley,45.7447,2016,
2321,0,3.5,628,0.0,0.0,40.82,26.53,7644,2.04,4.08,2.04,0,8.2,Chaparral High School,65.31,2016,
2322,112,23,143,2.37,1.32,35.88,34.3,7648,1.32,0.92,0.0,5.3,3.8,Nordhoff High School,59.76,2016,
2323,112,23,143,14.0704,4.0201,35.88,7.03518,8694,1.50754,0.0,1.00503,5.3,3.8,Oak Grove School,72.3618,2016,
2324,112,23,143,25.0,0.0,35.88,3.35821,8599,0.0,0.0,0.0,0,0,Ojai Valley School,71.6418,2016,
2325,112,23,143,13.0268,8.42912,35.88,9.57854,8542,5.74713,0.383142,0.383142,0,0,The Thacher School,62.4521,2016,
2326,0,0,143,4.17,1.39,20.83,8.33,12258,6.94,0.0,1.39,0,3,Valley Oak Charter School,77.78,2016,
2327,0,0,143,26.7925,1.13208,20.83,16.9811,8055,5.66038,0.377358,5.28302,0,3,Villanova Preparatory School,43.7736,2016,
2328,0,0,143,34.4828,1.72414,20.83,24.1379,11528,0.0,0.0,1.72414,0,3,Weil Tennis Academy And College Preparatory School,37.931,2016,
2329,0,0,143,2.5641,7.69231,20.83,53.8462,26417,0.0,0.0,2.5641,0,3,Calvary Christian School,33.3333,2016,
2330,208,15.8,158,6.66,1.07,73.78,89.52,7653,0.7,0.04,0.41,4.8,1.8,Channel Islands High School,1.6,2016,
2331,208,0,158,1.46,1.04,61.12,87.73,25582,1.04,0.42,0.0,4.8,1.8,Condor High,8.32,2016,
2332,208,0,158,8.33333,0.0,61.12,50.0,16801,0.0,0.0,0.0,4.8,1.8,El Shaddai Academy,41.6667,2016,
2333,217,25.2,146,2.69,1.23,79.18,91.17,7655,1.23,0.28,0.28,1.6,0.3,Hueneme High School,3.12,2016,
2334,383,21.5,378,4.49,1.9,52.55,83.42,7656,1.94,0.18,0.36,4.3,1.2,Oxnard High School,7.72,2016,
2335,285,22.4,330,4.08,1.33,70.3,92.23,12114,0.39,0.09,0.21,3,1.1,Pacifica High School,1.66,2016,
2336,308,14.4,144,5.82,3.3,51.95,73.93,7657,1.79,0.32,0.6,5.1,1.2,Rio Mesa High School,14.25,2016,
2337,0,0.1,144,0.63,0.94,74.63,74.95,16861,3.25,0.1,0.1,10.3,2.5,Vista Real Charter High School,20.02,2016,
2338,0,0.1,144,0.0,0.0,81.97,97.54,7731,0.0,0.0,0.0,0,0,Renaissance High,2.46,2016,
2339,178,20.6,90,0.19,0.13,76.57,95.09,7732,0.13,0.0,0.13,12.4,1.5,Santa Paula High,4.35,2016,
2340,2,20.6,90,0.5,1.51,49.25,48.24,7696,1.01,1.51,0.5,10.7,1.6,Apollo High School,46.73,2016,
2341,2,0,90,2.07,3.72,59.71,32.23,17024,7.23,1.24,0.21,10.7,1.6,California Virtual Academy @ Kings School,53.31,2016,
2342,0,2.9,90,2.86,1.14,19.43,33.71,11213,4.57,1.14,0.57,0,3.4,Monte Vista School,56.0,2016,
2343,319,24.2,350,6.79,1.36,29.78,38.13,7711,2.36,0.4,0.2,4.7,1,Royal High School,50.75,2016,
2344,144,28.3,339,14.48,1.18,17.15,27.14,7713,4.25,0.39,0.08,14.8,2.2,Santa Susana High School,52.48,2016,
2345,317,17.6,385,9.49,0.78,22.55,28.46,7715,3.3,0.5,0.23,4.2,0.9,Simi Valley High School,57.24,2016,
2346,9,10.7,385,5.83,2.91,11.65,15.53,25224,0.97,0.97,0.0,16.7,0,Century Academy,73.79,2016,
2347,9,0,385,4.0,4.8,48.8,46.4,31762,8.0,0.8,0.0,16.7,0,Compass Charter Schools of Fresno,36.0,2016,
2348,0,0,385,0.96,2.88,52.88,58.65,11220,0.96,0.96,0.0,0,1.9,Conejo Valley High (Continuation) School,35.58,2016,
2349,0,0,385,9.85401,3.28467,52.88,9.85401,9134,5.83942,0.0,0.0,0,1.9,Hillcrest Christian,71.1679,2016,
2350,0,0,385,7.73286,0.702988,52.88,13.5325,11237,8.96309,0.702988,0.702988,0,1.9,La Reina High School & Middle School,67.6626,2016,
2351,0,0,385,26.8908,4.20168,52.88,31.9328,9037,4.20168,0.0,0.0,0,1.9,Newbury Park Adventist Academy,32.7731,2016,
2352,293,32.9,864,7.36,1.52,19.77,24.91,7597,2.83,0.74,0.26,4.1,3.5,Thousand Oaks High School,62.37,2016,
2353,220,16.7,271,3.69,1.33,41.82,51.26,7735,2.67,0.51,0.31,8.9,1.5,Buena High School,40.23,2016,
2354,24,6.1,14,4.14,1.03,22.07,25.17,11215,5.17,0.69,0.0,0,1.2,El Camino High School,63.79,2016,
2355,312,37.4,423,5.18,1.17,22.09,34.51,11216,4.5,0.59,0.49,2.8,1.6,Foothill Technology High School,53.57,2016,
