Year,CDS_CODE,COUNTY,DISTRICT,SCHOOL,Charter,Latitude,Longitude,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,(%)FRPM,American Indian or Alaska Native,Asian,Pacific Islander,Filipino,Hispanic or Latino,African American,White,Two or More Races,AvgScr
2014,10739991033430,Fresno,Kerman Unified,Kerman High,N,36.731938,-120.06485,285.0,69.0,18.0,19.0,19.0,19.0,23.0,33.33,83.11284046692607,0.007017543859649123,0.06315789473684211,0.0,0.0,0.7789473684210526,0.007017543859649123,0.14385964912280702,0.0,18.75
2014,10751271030493,Fresno,Mendota Unified,Mendota High,N,36.749346,-120.37703,150.0,52.0,15.0,17.0,18.0,18.0,7.0,13.46,98.01587301587301,0.0,0.0,0.0,0.0,0.9866666666666667,0.006666666666666667,0.006666666666666667,0.0,17.0
2014,10752341037456,Fresno,Golden Plains Unified,Tranquillity High,N,36.645943,-120.25434,117.0,36.0,15.0,16.0,18.0,16.0,5.0,13.89,81.4663951120163,0.0,0.0,0.0,0.0,0.9829059829059829,0.008547008547008548,0.008547008547008548,0.0,16.25
2014,10752751036938,Fresno,Sierra Unified,Sierra High,N,37.035482,-119.45426,139.0,17.0,21.0,22.0,21.0,22.0,9.0,52.94,37.452471482889734,0.1366906474820144,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.1366906474820144,0.014388489208633094,0.6834532374100719,0.0,21.5
2014,10754081035575,Fresno,Riverdale Joint Unified,Riverdale High,N,36.430885,-119.85501,111.0,49.0,17.0,18.0,19.0,17.0,9.0,18.37,83.78378378378379,0.0,0.0,0.0,0.009009009009009009,0.8378378378378378,0.009009009009009009,0.14414414414414414,0.0,17.75
2014,10755981030535,Fresno,Caruthers Unified,Caruthers High,N,36.538216,-119.83844,124.0,29.0,17.0,20.0,19.0,19.0,8.0,27.59,85.59027777777779,0.0,0.11290322580645161,0.0,0.0,0.7338709677419355,0.016129032258064516,0.13709677419354838,0.0,18.75
2014,10767781038306,Fresno,Washington Unified,Washington High,N,36.648148,-119.79091,242.0,87.0,15.0,16.0,17.0,16.0,8.0,9.2,93.77394636015326,0.008264462809917356,0.15702479338842976,0.0,0.0,0.6776859504132231,0.06198347107438017,0.09504132231404959,0.0,16.0
2014,11754811135656,Glenn,Orland Joint Unified,Orland High,N,39.750985,-122.19017,151.0,19.0,17.0,19.0,19.0,18.0,4.0,21.05,65.68627450980392,0.013245033112582781,0.019867549668874173,0.006622516556291391,0.0,0.5629139072847682,0.0,0.37748344370860926,0.019867549668874173,18.25
2014,11765621133701,Glenn,Hamilton Unified,Hamilton High,N,39.745455,-122.01903,51.0,18.0,19.0,20.0,19.0,20.0,5.0,27.78,61.48148148148148,0.0,0.0,0.0,0.0,0.6862745098039216,0.0196078431372549,0.29411764705882354,0.0,19.5
2014,12101240115097,Humboldt,Humboldt County Office of Education,Northcoast Preparatory and Performing Arts Academy,Y,40.863604,-124.07508,32.0,12.0,25.0,25.0,22.0,21.0,10.0,83.33,44.20289855072464,0.0,0.0625,0.0,0.0,0.0625,0.0,0.78125,0.03125,23.25
2014,12626871230705,Humboldt,Northern Humboldt Union High,Arcata High,N,40.875686,-124.08991,166.0,38.0,25.0,27.0,25.0,25.0,32.0,84.21,30.889423076923077,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.0,0.10240963855421686,0.006024096385542169,0.3253012048192771,0.018072289156626505,25.5
