cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
09619030937805,S,South Tahoe High                                  ,Lake Tahoe Unified                                ,El Dorado      ,228,68,22,23,23,22,45,66.18
09737830000000,D,                                                  ,Black Oak Mine Unified                            ,El Dorado      ,102,14,*,*,*,*,*,*
09737830930073,S,Golden Sierra Junior Senior High                  ,Black Oak Mine Unified                            ,El Dorado      ,90,14,*,*,*,*,*,*
10000000000000,C,                                                  ,                                                  ,Fresno         ,14980,3091,19,20,20,20,1230,39.79
10101080000000,D,                                                  ,Fresno County Office of Education                 ,Fresno         ,361,7,*,*,*,*,*,*
10101080109991,S,Crescent View West Charter                        ,Fresno County Office of Education                 ,Fresno         ,189,1,*,*,*,*,*,*
10101080111682,S,Hume Lake Charter                                 ,Fresno County Office of Education                 ,Fresno         ,5,1,*,*,*,*,*,*
10101080119628,S,Big Picture Educational Academy                   ,Fresno County Office of Education                 ,Fresno         ,15,5,*,*,*,*,*,*
10621170000000,D,                                                  ,Clovis Unified                                    ,Fresno         ,3209,846,23,24,23,23,581,68.68
10621170113555,S,Clovis North High                                 ,Clovis Unified                                    ,Fresno         ,587,181,26,26,27,26,160,88.40
10621170118018,S,Clovis Online Charter                             ,Clovis Unified                                    ,Fresno         ,85,2,*,*,*,*,*,*
10621171030196,S,Clovis West High                                  ,Clovis Unified                                    ,Fresno         ,497,148,23,24,24,23,108,72.97
10621171030469,S,Enterprise Alternative                            ,Clovis Unified                                    ,Fresno         ,18,1,*,*,*,*,*,*
10621171030501,S,Buchanan High                                     ,Clovis Unified                                    ,Fresno         ,665,227,23,24,23,23,170,74.89
10621171030683,S,Clovis East High                                  ,Clovis Unified                                    ,Fresno         ,478,86,19,21,20,20,40,46.51
10621171031053,S,Clovis High                                       ,Clovis Unified                                    ,Fresno         ,772,201,21,22,21,21,100,49.75
10621250000000,D,                                                  ,Coalinga-Huron Unified                            ,Fresno         ,311,1,*,*,*,*,*,*
10621251031376,S,Coalinga High                                     ,Coalinga-Huron Unified                            ,Fresno         ,249,1,*,*,*,*,*,*
10621580000000,D,                                                  ,Fowler Unified                                    ,Fresno         ,182,13,*,*,*,*,*,*
10621581032150,S,Fowler High                                       ,Fowler Unified                                    ,Fresno         ,175,13,*,*,*,*,*,*
10621660000000,D,                                                  ,Fresno Unified                                    ,Fresno         ,4928,1377,17,19,18,18,361,26.22
10621660108555,S,Design Science Early College High                 ,Fresno Unified                                    ,Fresno         ,52,51,19,20,21,20,21,41.18
10621660114355,S,Sierra Charter                                    ,Fresno Unified                                    ,Fresno         ,111,0,N/A,N/A,N/A,N/A,N/A,N/A
10621660114553,S,University High                                   ,Fresno Unified                                    ,Fresno         ,120,96,27,27,25,25,77,80.21
10621661030279,S,Bullard High                                      ,Fresno Unified                                    ,Fresno         ,612,107,20,22,20,21,41,38.32
10621661030287,S,J. E. Young Academic Center                       ,Fresno Unified                                    ,Fresno         ,181,3,*,*,*,*,*,*
10621661030295,S,Erma Duncan Polytechnical High                    ,Fresno Unified                                    ,Fresno         ,209,9,*,*,*,*,*,*
10621661030642,S,School of Unlimited Learning                      ,Fresno Unified                                    ,Fresno         ,107,0,N/A,N/A,N/A,N/A,N/A,N/A
10621661030675,S,Sunnyside High                                    ,Fresno Unified                                    ,Fresno         ,676,282,16,17,18,17,50,17.73
10621661030840,S,Carter G. Woodson Public Charter                  ,Fresno Unified                                    ,Fresno         ,155,0,N/A,N/A,N/A,N/A,N/A,N/A
10621661031897,S,Edison High                                       ,Fresno Unified                                    ,Fresno         ,543,198,20,21,21,21,95,47.98
10621661032507,S,Fresno High                                       ,Fresno Unified                                    ,Fresno         ,509,261,15,17,17,17,31,11.88
10621661032911,S,Herbert Hoover High                               ,Fresno Unified                                    ,Fresno         ,361,98,17,18,18,18,20,20.41
