Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,D,,Pacific Grove Unified,Monterey,150,39,24.0,25.0,25.0,24.0,30,76.92
2014,S,Pacific Grove High,Pacific Grove Unified,Monterey,135,39,24.0,25.0,25.0,24.0,30,76.92
2014,D,,Salinas Union High,Monterey,2370,363,18.0,19.0,20.0,19.0,139,38.29
2014,S,Alisal High,Salinas Union High,Monterey,541,148,16.0,17.0,19.0,17.0,35,23.65
2014,S,Everett Alvarez High,Salinas Union High,Monterey,513,73,19.0,20.0,20.0,20.0,32,43.84
2014,S,North Salinas High,Salinas Union High,Monterey,432,50,17.0,18.0,19.0,19.0,12,24.0
2014,S,Salinas High,Salinas Union High,Monterey,503,92,22.0,23.0,23.0,22.0,60,65.22
2014,D,,North Monterey County Unified,Monterey,354,14,18.0,18.0,20.0,19.0,3,21.43
2014,S,North Monterey County High,North Monterey County Unified,Monterey,257,14,18.0,18.0,20.0,19.0,3,21.43
2014,D,,Soledad Unified,Monterey,369,53,18.0,19.0,18.0,18.0,12,22.64
2014,S,Soledad High,Soledad Unified,Monterey,304,53,18.0,19.0,18.0,18.0,12,22.64
2014,D,,Gonzales Unified,Monterey,229,54,15.0,16.0,16.0,17.0,7,12.96
2014,S,Gonzales High,Gonzales Unified,Monterey,204,54,15.0,16.0,16.0,17.0,7,12.96
2014,C,,,Napa,1618,282,23.0,23.0,22.0,22.0,186,65.96
2014,D,,Calistoga Joint Unified,Napa,65,29,19.0,20.0,19.0,19.0,11,37.93
2014,S,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,62,29,19.0,20.0,19.0,19.0,11,37.93
2014,D,,Napa Valley Unified,Napa,1406,193,23.0,24.0,23.0,23.0,137,70.98
2014,S,American Canyon High,Napa Valley Unified,Napa,328,42,21.0,22.0,22.0,21.0,25,59.52
