cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
19645350000000,D,                                                  ,El Segundo Unified                                ,Los Angeles    ,305,126,25,24,25,24,98,77.78,1314
19645351932763,S,El Segundo High                                   ,El Segundo Unified                                ,Los Angeles    ,298,126,25,24,25,24,98,77.78,1314
19645680000000,D,                                                  ,Glendale Unified                                  ,Los Angeles    ,2282,345,24,24,26,24,268,77.68,1314
19645681932144,S,Crescenta Valley High                             ,Glendale Unified                                  ,Los Angeles    ,714,232,25,25,27,24,189,81.47,1314
19645681933530,S,Glendale High                                     ,Glendale Unified                                  ,Los Angeles    ,654,51,21,21,24,22,31,60.78,1314
19645681934082,S,Herbert Hoover High                               ,Glendale Unified                                  ,Los Angeles    ,439,31,22,23,24,23,21,67.74,1314
19645681995497,S,Verdugo Academy                                   ,Glendale Unified                                  ,Los Angeles    ,18,0,NA,NA,NA,NA,NA,NA,1314
19645681996131,S,Anderson W. Clark Magnet High                     ,Glendale Unified                                  ,Los Angeles    ,252,31,25,24,27,23,27,87.1,1314
19645760000000,D,                                                  ,Glendora Unified                                  ,Los Angeles    ,640,90,25,25,27,24,71,78.89,1314
19645761933597,S,Glendora High                                     ,Glendora Unified                                  ,Los Angeles    ,570,90,25,25,27,24,71,78.89,1314
19645840000000,D,                                                  ,Gorman Elementary                                 ,Los Angeles    ,190,3,*,*,*,*,*,*,1314
19645841996305,S,Gorman Learning Center                            ,Gorman Elementary                                 ,Los Angeles    ,190,3,*,*,*,*,*,*,1314
19645920000000,D,                                                  ,Hawthorne                                         ,Los Angeles    ,122,131,19,20,21,19,57,43.51,1314
19645920100354,S,Hawthorne Math and Science Academy                ,Hawthorne                                         ,Los Angeles    ,122,131,19,20,21,19,57,43.51,1314
19646000000000,D,                                                  ,Hermosa Beach City Elementary                     ,Los Angeles    ,313,4,*,*,*,*,*,*,1314
19646000120543,S,Opportunities for Learning - Hermosa Bea          ,Hermosa Beach City Elementary                     ,Los Angeles    ,240,4,*,*,*,*,*,*,1314
19646000120550,S,"Options for Youth-Hermosa Beach, Inc.             ",Hermosa Beach City Elementary                     ,Los Angeles    ,73,0,NA,NA,NA,NA,NA,NA,1314
19646340000000,D,                                                  ,Inglewood Unified                                 ,Los Angeles    ,997,298,16,17,17,16,46,15.44,1314
19646341934231,S,Inglewood High                                    ,Inglewood Unified                                 ,Los Angeles    ,361,110,14,16,16,16,11,10,1314
19646341936046,S,Morningside High                                  ,Inglewood Unified                                 ,Los Angeles    ,299,54,14,16,16,16,5,9.26,1314
19646341996529,S,City Honors College Preparatory Charter           ,Inglewood Unified                                 ,Los Angeles    ,155,75,18,19,19,18,19,25.33,1314
19646341996586,S,Animo Inglewood Charter High                      ,Inglewood Unified                                 ,Los Angeles    ,132,59,17,16,18,16,11,18.64,1314
19646346014542,S,Parent (Frank D.) Elementary                      ,Inglewood Unified                                 ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19646590000000,D,                                                  ,La Canada Unified                                 ,Los Angeles    ,375,144,27,26,27,26,124,86.11,1314
19646591934611,S,La Canada High                                    ,La Canada Unified                                 ,Los Angeles    ,373,144,27,26,27,26,124,86.11,1314
19646830000000,D,                                                  ,Las Virgenes Unified                              ,Los Angeles    ,991,358,27,26,26,25,320,89.39,1314
19646831930080,S,Agoura High                                       ,Las Virgenes Unified                              ,Los Angeles    ,525,185,27,26,26,25,164,88.65,1314
19646831931781,S,Calabasas High                                    ,Las Virgenes Unified                              ,Los Angeles    ,441,173,28,27,27,25,156,90.17,1314
19646910000000,D,                                                  ,Lawndale Elementary                               ,Los Angeles    ,130,12,18,21,21,20,5,41.67,1314
19646911996438,S,Environmental Charter High                        ,Lawndale Elementary                               ,Los Angeles    ,130,12,18,21,21,20,5,41.67,1314
19647090000000,D,                                                  ,Lennox                                            ,Los Angeles    ,273,222,16,17,19,17,44,19.82,1314
19647090100602,S,"Lennox Mathematics, Science and Technolo          ",Lennox                                            ,Los Angeles    ,138,120,16,18,19,17,25,20.83,1314
19647091996313,S,Animo Leadership High                             ,Lennox                                            ,Los Angeles    ,135,102,15,17,18,17,19,18.63,1314
19647250000000,D,                                                  ,Long Beach Unified                                ,Los Angeles    ,6867,1378,21,21,22,21,727,52.76,1314
19647250125153,S,Beach High-Intensive Learning Program             ,Long Beach Unified                                ,Los Angeles    ,100,0,NA,NA,NA,NA,NA,NA,1314
19647250127381,S,"Ernest S. McBride, Sr. High                       ",Long Beach Unified                                ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647251930411,S,Avalon K-12,Long Beach Unified                                ,Los Angeles    ,62,4,*,*,*,*,*,*,1314
19647330121293,S,Alliance Tennenbaum Family Technology Hi          ,Los Angeles Unified                               ,Los Angeles    ,87,12,16,17,19,17,3,25,1314
19647330122275,S,Academy of Environmental & Social Policy          ,Los Angeles Unified                               ,Los Angeles    ,93,36,14,15,16,16,2,5.56,1314
19647330122333,S,"Math, Science, & Technology Magnet Acade          ",Los Angeles Unified                               ,Los Angeles    ,80,25,16,17,18,17,5,20,1314
19647330122341,S,East Los Angeles Performing Arts Academy          ,Los Angeles Unified                               ,Los Angeles    ,107,41,14,16,16,15,2,4.88,1314
19647330122358,S,Humanitas Academy of Art and Technology           ,Los Angeles Unified                               ,Los Angeles    ,90,7,*,*,*,*,*,*,1314
19647330122366,S,Social Justice Leadership Academy at Est          ,Los Angeles Unified                               ,Los Angeles    ,90,30,14,15,17,15,2,6.67,1314
19647330122374,S,East Los Angeles Renaissance Academy at           ,Los Angeles Unified                               ,Los Angeles    ,80,14,17,18,18,18,4,28.57,1314
19647330122382,S,Engineering and Technology Academy at Es          ,Los Angeles Unified                               ,Los Angeles    ,93,14,14,17,19,17,1,7.14,1314
19647330122598,S,PUC Triumph Charter High                          ,Los Angeles Unified                               ,Los Angeles    ,78,32,15,15,17,15,1,3.13,1314
19647330122606,S,PUC Lakeview Charter High                         ,Los Angeles Unified                               ,Los Angeles    ,98,81,15,16,17,16,10,12.35,1314
19647330122721,S,Aspire Pacific Academy                            ,Los Angeles Unified                               ,Los Angeles    ,119,97,15,16,17,16,13,13.4,1314
19647330122762,S,Los Angeles Big Picture High                      ,Los Angeles Unified                               ,Los Angeles    ,22,0,NA,NA,NA,NA,NA,NA,1314
19647330123133,S,Alliance Susan and Eric Smidt Technology          ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330123141,S,Alliance College-Ready Academy High No.           ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330124222,S,Rise Kohyang Middle                               ,Los Angeles Unified                               ,Los Angeles    ,0,66,17,19,19,18,17,25.76,1314
19647330124362,S,Valley Academy of Arts and Sciences               ,Los Angeles Unified                               ,Los Angeles    ,195,30,19,20,20,19,11,36.67,1314
19647330124370,S,"Cesar E. Chavez Learning Academies-Arts,          ",Los Angeles Unified                               ,Los Angeles    ,81,17,14,17,16,17,1,5.88,1314
19647330124388,S,Cesar E. Chavez Learning Academies-Socia          ,Los Angeles Unified                               ,Los Angeles    ,92,50,17,17,18,17,12,24,1314
19647330124396,S,Cesar E. Chavez Learning Academies-Acade          ,Los Angeles Unified                               ,Los Angeles    ,58,3,*,*,*,*,*,*,1314
19647330124404,S,Cesar E. Chavez Learning Academies-Teach          ,Los Angeles Unified                               ,Los Angeles    ,79,6,*,*,*,*,*,*,1314
19647330124412,S,Los Angeles River at Sonia Sotomayor Lea          ,Los Angeles Unified                               ,Los Angeles    ,62,11,14,17,16,16,0,0,1314
19647330124420,S,School of History and Dramatic Arts at S          ,Los Angeles Unified                               ,Los Angeles    ,52,18,15,17,17,16,3,16.67,1314
19647330124438,S,ARTLAB at Sonia Sotomayor Learning Acade          ,Los Angeles Unified                               ,Los Angeles    ,44,0,NA,NA,NA,NA,NA,NA,1314
19647330124461,S,Social Justice Schools: Global Issues Ac          ,Los Angeles Unified                               ,Los Angeles    ,80,4,*,*,*,*,*,*,1314
19647330124479,S,Social Justice Schools: Fine Arts Academ          ,Los Angeles Unified                               ,Los Angeles    ,98,0,NA,NA,NA,NA,NA,NA,1314
19647330124487,S,Public Service Community at Diego Rivera          ,Los Angeles Unified                               ,Los Angeles    ,66,12,15,16,17,17,3,25,1314
19647330124495,S,Communication and Technology at Diego Ri          ,Los Angeles Unified                               ,Los Angeles    ,70,3,*,*,*,*,*,*,1314
19647330124503,S,Green Design at Diego Rivera Learning Co          ,Los Angeles Unified                               ,Los Angeles    ,64,12,14,16,17,16,1,8.33,1314
19647330124511,S,Performing Arts Community at Diego River          ,Los Angeles Unified                               ,Los Angeles    ,55,0,NA,NA,NA,NA,NA,NA,1314
19647330124529,S,Rancho Dominguez Preparatory                      ,Los Angeles Unified                               ,Los Angeles    ,148,43,17,18,18,18,11,25.58,1314
19647330124560,S,Synergy Quantum Academy                           ,Los Angeles Unified                               ,Los Angeles    ,64,40,15,17,17,17,6,15,1314
19647330124818,S,Los Angeles Leadership Primary Academy            ,Los Angeles Unified                               ,Los Angeles    ,0,38,14,15,16,15,1,2.63,1314
19647330124883,S,Animo College Preparatory Academy                 ,Los Angeles Unified                               ,Los Angeles    ,107,39,12,14,16,15,3,7.69,1314
19647330124891,S,Alliance Renee and Meyer Luskin Academy           ,Los Angeles Unified                               ,Los Angeles    ,94,81,13,14,16,15,4,4.94,1314
19647330124933,S,PUC Early College Academy for Leaders an          ,Los Angeles Unified                               ,Los Angeles    ,69,64,15,17,18,17,10,15.63,1314
19647330125864,S,USC Hybrid High                                   ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330125963,S,Leadership in Entertainment and Media Ar          ,Los Angeles Unified                               ,Los Angeles    ,69,0,NA,NA,NA,NA,NA,NA,1314
19647330125989,S,STEM Academy of Hollywood                         ,Los Angeles Unified                               ,Los Angeles    ,57,17,16,16,18,17,3,17.65,1314
19647330126136,S,Math and Science College Preparatory              ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330126185,S,Academy of Science and Engineering                ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330126474,S,Hilda L. Solis Learning Academy School o          ,Los Angeles Unified                               ,Los Angeles    ,0,0,NA,NA,NA,NA,NA,NA,1314
19647330126482,S,Augustus F. Hawkins High A Critical Desi          ,Los Angeles Unified                               ,Los Angeles    ,48,39,10,13,15,14,0,0,1314
19647330126490,S,Augustus F. Hawkins High B Community Hea          ,Los Angeles Unified                               ,Los Angeles    ,65,27,12,12,15,14,0,0,1314
19647330126508,S,Augustus F. Hawkins High C Responsible I          ,Los Angeles Unified                               ,Los Angeles    ,54,20,12,15,15,14,0,0,1314
19647336060529,S,Marlton                                           ,Los Angeles Unified                               ,Los Angeles    ,39,15,10,13,15,15,0,0,1314
